code,comuna,ingreso_promedio_2015,salud_fonasa_2015,salud_isapre_2015,salud_FF_AA_2015,salud_sin_2015,salud_no_sabe_2015,hacinamiento_2015,atencion_medica_2015,carencia_edu_2015,servicios_aceptable,servicios_deficit_2015,Pobreza_multi_2015
15101,Arica,749439.75,75.3,11.5,6.4,3.9,2.9,8,89,23.2,96.8,3.2,18.1
15201,Putre,462115.47,93.3,0.9,1.9,2.5,1.4,26.6,88,58.6,46.6,53.4,58.2
1101,Iquique,1262416.25,60.3,23.9,7.2,6.8,1.8,11.2,91.3,16.9,99.2,0.8,17.3
1107,Alto Hospicio,676942.5,79.1,10.7,3.1,5.2,1.9,13,95.1,31.6,99.8,0.2,23.2
1401,Pozo Almonte,677065.13,74.8,7.4,7.7,7.5,2.6,10.7,91.6,27.7,95,5,27.1
2101,Antofagasta,1021429,65,29.4,1.3,2.2,2.1,9.3,88.2,20.8,99.6,0.4,14
2201,Calama,1153979.13,57.8,33.4,1.4,5.9,1.5,15.5,83.8,24.7,98.7,1.3,21.9
2301,Tocopilla,685173.81,80.8,15.7,0.5,2.5,0.6,2.2,95.3,22.7,96.8,3.2,18.9
3101,Copiapó,987340.63,76,16.3,1.5,5.8,0.5,8.5,91.4,28.2,98.9,1.1,27.8
3201,Chañaral,786566.06,85.4,8.5,1.5,4.5,0.1,11.7,92.2,32.3,98.1,1.9,27.3
3301,Vallenar,654075.5,86.4,10.1,0.3,2.6,0.6,10.9,86.2,32.4,96.9,3.1,19
4101,La Serena,854579.75,80.1,12.7,1.7,4.8,0.7,4.7,88,23.5,95.5,4.5,23.2
4102,Coquimbo,744982.94,85.5,7.4,1.8,4.3,1,7.7,89.4,26.2,98.3,1.7,23.4
4106,Vicuña,662344.81,93.1,1,0.6,4.5,0.9,10.7,88.7,43.1,97.3,2.7,17.8
4201,Illapel,634627.88,89,4.8,2.1,2.8,1.3,7.3,91.1,46.9,91.7,8.3,24.6
4301,Ovalle,571873.63,88.8,3.9,1.5,3.7,2.1,5.9,84.4,38.5,91.9,8.1,23.5
5101,Valparaíso,727026.38,78.7,10.4,6.7,3,1.3,6.9,96.1,18.8,99,1,17
5103,Concón,1153439,61.5,31.3,3.6,1.6,2,3.9,87,19.4,99.8,0.2,15.5
5109,Viña del Mar,970938.94,69.3,20.8,6.4,2,1.6,3.4,95.1,18.3,98.2,1.8,16
5301,Los Andes,817321.81,72.9,22.1,2.7,0.9,1.4,4,84.3,19.6,98.7,1.3,9
5401,La Ligua,544042.94,84.5,4.9,2.1,4.3,4.2,7.8,93,39.1,99.1,0.9,23.3
5501,Quillota,687714.88,71.6,15.9,3.1,4.2,5.2,2.9,95.1,25.5,96.7,3.3,12.2
5502,Calera,586830.56,83.1,8.1,0.2,5.2,3.4,11.1,91.8,30.5,97.9,2.1,31
5601,San Antonio,646979,90.1,6,1.9,1.1,0.8,5.5,96.1,30.9,98.3,1.7,17.9
5604,El Quisco,639922,91.3,4.4,2.4,1.2,0.7,8.3,98.1,27.4,96.3,3.7,13.5
5701,San Felipe,627191.69,88.4,5.1,1.6,3.4,1.4,7.2,84.6,29.7,96.1,3.9,19.1
5801,Quilpué,815109.63,74.5,13.6,8.1,2.5,1.4,4,97.6,17.2,97.9,2.1,13.6
5802,Limache,691153.06,83.3,7.3,5.8,2.6,1,6.9,90.7,27.1,95.6,4.4,23.4
5804,Villa Alemana,826872.31,72.6,10.8,10.2,4.1,2.3,5.1,95.2,19.6,96.5,3.5,18.8
6101,Rancagua,788361.56,71.4,20.6,2.9,3.9,1.2,6.8,94.8,29.5,99.1,0.9,22.5
6102,Codegua,636508.94,90.2,5.7,1.4,2.7,0,10.2,94.3,43.6,92.3,7.7,20.3
6104,Coltauco,606198.75,87.4,5.9,1.3,4.2,1.2,5.8,89.9,49.8,89.1,10.9,24.9
6106,Graneros,757479.19,82.4,12.3,1.3,4,0.1,4.7,92.2,29.1,96.4,3.6,22.1
6108,Machalí,1170461.5,60.6,33.7,1.2,3.8,0.7,5,97.7,25.5,97.1,2.9,18.2
6111,Olivar,671345.56,83.1,12.6,0.8,1.8,1.7,8.3,93.5,51.7,97.2,2.8,24.2
6112,Peumo,595471.31,89.2,4,1.8,2.5,2.5,6.6,94.2,44.4,91.4,8.6,23.6
6113,Pichidegua,579619.5,89.8,2.7,0.7,4.6,2.3,8.2,93.7,50.7,93,7,21.2
6115,Rengo,598469.94,86,5.7,1.4,1.9,5,10.2,89.2,45.1,96.6,3.4,28.2
6116,Requínoa,636329.63,88.3,6.7,1.8,2.4,0.8,8.3,95.6,50.8,96.7,3.3,17.9
6117,San Vicente,621014.44,81.4,12.4,2.4,2.7,1.1,9.3,94.3,34.3,94.9,5.1,28.4
6201,Pichilemu,571085.88,86.9,4.6,0.4,5.4,2.8,6.1,95,45.9,93.3,6.7,25.8
6301,San Fernando,813403.75,83.4,11.5,2.2,2.5,0.4,3.6,90.5,32.4,97.3,2.7,17.4
6303,Chimbarongo,577010.63,89.6,2.5,2.9,3.4,1.5,9.3,84.1,50.3,90.3,9.7,27
6310,Santa Cruz,568208.63,86.3,6.4,1.6,4.7,1,7.5,98.4,47.1,92.5,7.5,25.5
7101,Talca,861541.44,79.6,13.3,3.3,2.9,0.9,5.7,89.7,27.3,98.5,1.5,16.7
7102,Constitución,538630.06,86.4,6.6,0.8,5.9,0.3,6.9,93.5,42.4,91.2,8.8,22
7109,San Clemente,493930.94,92,3.3,0.8,2.9,0.9,14.3,94.7,53,91.6,8.4,36.1
7201,Cauquenes,473572.38,87.7,4.3,2.5,1.9,3.6,10,94.9,47,94.5,5.5,22.9
7301,Curicó,619371.25,83.2,7.4,2.7,2.5,4.2,6.1,96.6,33.9,98.8,1.2,15.4
7308,Teno,535952.25,89.7,2.1,1.4,3.7,3,6.2,88.2,53.7,95.7,4.3,17
7401,Linares,566418.19,86.4,2.9,2.7,2.3,5.6,7.2,92.6,40.3,97.7,2.3,22.8
7402,Colbún,532042.19,91.3,1.3,1.6,2.9,3,8.1,94.3,45.1,99.1,0.9,28.3
7404,Parral,551804.63,86.6,4.6,1.5,2.2,5.1,5.8,86,48.7,96.6,3.4,25.5
7406,San Javier,529764.69,81.8,2.4,4.7,8.4,2.7,10.3,88.6,40.6,95.2,4.8,26.7
7407,Villa Alegre,532234.81,90.4,5.1,0.5,1.6,2.3,6.1,96.8,52.6,93.1,6.9,28.7
7408,Yerbas Buenas,516624.28,89.8,2.2,1.6,3.2,3.2,5.7,97.2,55.3,86.4,13.6,31.8
8101,Concepción,783714.94,79,15,2.4,1.5,2.1,5.7,95.9,21.5,98.9,1.1,13.4
8102,Coronel,551101.5,86.8,5,4,1.9,2.3,4.6,97.1,34.9,98.4,1.6,15.8
8103,Chiguayante,672496.63,82.1,11.6,2.1,2.8,1.4,6.2,97.1,23.7,99.6,0.4,15.3
8106,Lota,522348.59,93.6,2.8,1.6,1.2,0.8,5,91.4,39,98.6,1.4,23.2
8107,Penco,560681.81,86.7,4.5,4,3.6,1.2,7.7,94.2,33.5,97.9,2.1,19
8108,San Pedro de la Paz,1045755.75,73.1,23.1,1.3,0.9,1.6,6.7,94.4,27.6,99.6,0.4,17.9
8110,Talcahuano,637622.88,78.6,10.8,6.9,1.3,2.4,6.5,97.8,22.1,99.2,0.8,11.4
8111,Tomé,590381,90.7,5.8,2.6,0.4,0.5,5.6,94.6,29.3,95.2,4.8,19.9
8112,Hualpén,597692.94,82.2,10,1.9,3.1,2.7,7.5,93.2,26.4,98.5,1.5,17.1
8201,Lebu,576324.88,89.2,3,2,3.8,1.9,5.1,92.4,53.1,95.2,4.8,29.4
8202,Arauco,493177.88,90.6,7,1.2,0.2,0.9,5.4,97.4,35.8,98.7,1.3,9.5
8203,Cañete,449891.38,93.9,1.9,2.1,1.5,0.6,3.7,90.5,47.5,90.8,9.2,31.4
8205,Curanilahue,585915.5,95.5,1.5,0.8,1.1,1.1,7,94.1,44.4,97.6,2.4,23.2
8301,Los Ángeles,677295.06,83.4,10.3,2.2,2.3,1.8,7.2,93.4,35.4,95.2,4.8,19.4
8304,Laja,500962.38,84.8,10.7,0.4,0.5,3.7,5.6,96.6,51.6,90.8,9.2,24.3
8305,Mulchén,448085.28,92.8,1.8,3.2,0,2.2,4,93.8,44.7,93.5,6.5,23.1
8306,Nacimiento,516627.88,90.1,5.4,1.9,1,1.6,6.5,94.6,45.9,93.5,6.5,21.7
8401,Chillán,721607.13,81,11,3.1,2.2,2.7,5.9,90.2,27.6,98.6,1.4,18.1
8406,Chillán Viejo,608990.06,82.1,9.7,3.8,2.5,2,3.6,96.2,26.5,97.4,2.6,14.5
9101,Temuco,754926.31,77.7,14.4,3.1,3.4,1.4,6.3,89.9,24,96.6,3.4,19
9102,Carahue,463872.94,96.6,2.2,0.3,0.4,0.5,10.8,88.8,61.4,79.7,20.3,43.3
9103,Cunco,405295,90.3,1.6,2.2,1.9,4,5.3,91.2,53,78.3,21.7,34.3
9105,Freire,448035.81,87.2,3.2,2.8,3.1,3.7,5.8,91.1,56.2,77.8,22.2,35.8
9108,Lautaro,518464.88,87.5,3.1,6.3,2.4,0.7,7.1,87,53.2,74.6,25.4,41.9
9111,Nueva Imperial,445944.28,89.8,4.3,2.5,1.9,1.5,5.4,81.6,47.5,75.5,24.5,45.8
9112,Padre Las Casas,530704.06,91.5,3.3,2.9,0.8,1.5,10.7,87.9,45.8,69.4,30.6,44.7
9114,Pitrufquén,503931.34,91,3.3,2.7,2.1,0.9,8.3,87.7,46,85.6,14.4,22.5
9115,Pucón,601919.25,89.3,4.2,4,1.8,0.8,8,82.1,37.2,87.5,12.5,20.9
9120,Villarrica,594180.81,88.1,5.4,2,2.8,1.7,6.6,88.4,39.8,88.5,11.5,23
9201,Angol,603504.19,86.5,6.8,3.3,1.1,2.2,5.6,84.9,42,95.7,4.3,16.8
9202,Collipulli,486556.22,91.5,3.7,3,0.7,1,6.3,87.6,58.7,84.7,15.3,35.9
9203,Curacautín,487264.25,90.9,3.5,2.3,1.4,1.9,3.5,97.6,41.3,91,9,26.3
9210,Traiguén,1094622.88,92.9,3.1,2.4,0.1,1.5,6.2,91.9,50.6,86.5,13.5,25.6
9211,Victoria,592218.75,86.2,6.7,3.8,1.3,2,6.6,94.1,45.3,91.3,8.7,27.5
14101,Valdivia,936630.63,72.6,14.5,5.5,4.9,2.4,3.7,93.5,24.3,97.9,2.1,15.5
14104,Los Lagos,444369.22,93.7,2.7,1,1,1.5,5.6,94.4,53.9,81.7,18.3,26
14107,Paillaco,459804.16,89.7,2.2,4.9,1.6,1.6,4.6,89.7,50.6,90.8,9.2,23.7
14108,Panguipulli,459837.5,94.3,2.3,0.8,1.1,1.5,9.5,94.5,52.9,72.6,27.4,36.6
14201,La Unión,591654.44,91.8,4.3,1.2,1.8,0.9,7.2,80.1,42.1,86.3,13.7,30
14204,Río Bueno,620535.13,89.2,6.5,1.7,1.7,0.9,6,87.4,48.4,87.7,12.3,24.3
10101,Puerto Montt,709657,83.8,10.3,2.9,2,1,5.2,94.1,37,93.1,6.9,17.8
10102,Calbuco,622007.25,93.5,4.5,0.5,1.2,0.3,5.8,98,58.8,62.1,37.9,39.8
10105,Frutillar,536757.19,92.7,3.3,0.7,1.7,1.6,10.3,95.6,55.4,87,13,20.7
10106,Los Muermos,568198.69,94.3,2.4,0.8,1.9,0.6,4.5,97.4,62.4,71.2,28.8,33.3
10107,Llanquihue,778668.06,83.3,13.4,1.8,0.1,1.4,4.8,94.7,47,95,5,15.6
10201,Castro,708672.19,78.7,12.2,1.9,3.6,3.6,3,94.8,36.4,91.3,8.7,21.3
10202,Ancud,623903.75,82.4,6.8,2.7,3.8,4.3,5.3,88.1,41.6,91.3,8.7,25.4
10208,Quellón,705413.44,88.9,6.7,0.3,2.1,2,3.5,97,53.5,80.2,19.8,27.2
10301,Osorno,582307.75,83.3,8.9,2.5,2.8,2.4,7.2,90.2,33.5,98.3,1.7,20.3
10305,Río Negro,530285.25,90,3.4,3.2,2,1.3,8.1,90.5,54.3,84.3,15.7,28.9
11101,Coyhaique,959488.69,75.7,13.5,6.2,3.2,1.4,5.3,93.4,30.3,94.9,5.1,13.5
11201,Aysén,711084.75,81.6,7.1,5.6,3.4,2.3,7.6,95.1,38.8,93.4,6.6,21.7
11301,Cochrane,912005.88,81.3,3.1,6.3,7.3,2,3.5,93.4,45.4,78.2,21.8,27.8
11401,Chile Chico,719047.81,88.3,6.2,0.5,5,0,7.3,95.9,38.4,98.3,1.7,11
12101,Punta Arenas,1017028.63,67,17.9,9.8,2.9,2.5,2.7,89.4,21.4,98.6,1.4,7.6
12301,Porvenir,851524.88,83.8,3.2,8.1,3.5,1.5,3.4,85.5,32.4,96.3,3.7,11.5
12401,Natales,731279.75,83.8,6.1,4.1,4.3,1.7,4.1,91.7,41.2,99,1,19.2
13101,Santiago,1047740.06,56,30.4,3.6,7.4,2.6,9.5,93.6,6.5,99.9,0.1,11.6
13103,Cerro Navia,620550.75,88.8,6.5,0.5,2.6,1.6,11.3,96,43,99.6,0.4,35.6
13104,Conchalí,711382.75,81.9,11.5,2.7,2.6,1.3,10,90.5,29.3,99.3,0.7,21.6
13105,El Bosque,653960.94,87.5,6.5,2.2,2.5,1.3,12.4,94.1,36,98.6,1.4,27
13106,Estación Central,705931.25,85.2,11.7,1.3,1.4,0.5,7.5,97.2,26.6,99.4,0.6,14.5
13110,La Florida,931329.19,76,17.4,2.3,3.2,1.1,5.7,93,26.4,99.3,0.7,17
13111,La Granja,767051.13,87.7,5.5,1.9,2.1,2.8,10.6,94.3,39.3,99.2,0.8,24.5
13112,La Pintana,664811.31,94.7,2.7,0.3,1.9,0.4,20.2,96.3,45.6,99,1,42.4
13114,Las Condes,2918799.5,20.2,68.6,8.6,1.8,0.8,1.1,94.4,4,99.9,0.1,4.8
13118,Macul,1188637,63.9,27.1,3.3,4.8,0.9,5.8,95.9,18.1,100,0,17.5
13119,Maipú,965511.38,65.5,24.8,3.4,4.1,2.2,6.1,93.1,16.3,100,0,12.5
13120,Ñuñoa,1858190.75,42.5,50.7,2.4,3.4,1,2.7,85.9,6.9,100,0,10.7
13121,Pedro Aguirre Cerda,706539.63,82.7,10.1,2.7,2.9,1.6,12.1,97.7,36.1,99.4,0.6,31
13122,Peñalolén,1138246.63,71.7,18.7,3.1,1.4,5,7.6,97.7,32.7,100,0,20.7
13123,Providencia,2567129.75,26,67.7,3,2.9,0.5,1.6,92.3,2.1,100,0,4.6
13124,Pudahuel,742253.44,84.8,12.7,1.1,1.4,0.1,9.4,94.8,26.9,99.6,0.4,20.5
13125,Quilicura,890655.13,76.7,17.5,1.9,3,0.9,11.8,95.1,21.1,100,0,18.5
13126,Quinta Normal,786455.81,72,20.2,1.7,3.9,2.3,8.1,95.9,18,100,0,13.5
13127,Recoleta,676489.63,79.7,10.9,0.9,7,1.5,15.3,95.9,32.2,98.3,1.7,26.2
13128,Renca,677747.88,86.5,7.1,0.7,3.9,1.8,8.7,97.5,40.4,100,0,26.2
13130,San Miguel,1507958.63,54.1,37,2.2,5.4,1.4,5.8,93.5,11.7,100,0,11.6
13201,Puente Alto,854073.06,75,17.9,2.1,3.5,1.6,7.3,90.3,25.9,100,0,27.1
13301,Colina,681916.81,87.2,7.1,3.3,1.7,0.7,9,94.6,42,92.6,7.4,32.1
13401,San Bernardo,758385,80.8,12.3,3,2.3,1.7,9,94.5,31.2,99.2,0.8,22
13501,Melipilla,662250.31,82.2,12,0.6,4.4,0.8,6.9,87.6,33.8,97.8,2.2,20.8
13601,Talagante,824971.13,83.5,10.8,3.2,2.3,0.2,8.3,98.6,31.6,94.4,5.6,29.9
